Date,IBIT Close,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2024-02-26,31.1200,54522.40,32.0866,-301.26,13.63,false,true,287.62,35803.43
2024-02-27,32.5900,57085.37,33.5949,-299.14,13.29,false,true,285.85,37263.17
2024-02-28,34.4500,62504.79,36.7843,-634.59,12.89,false,true,621.70,85669.58
2024-02-29,35.4200,61198.38,36.0155,-165.34,12.71,false,true,152.63,21624.86
2024-03-01,35.9900,62440.63,36.7465,-205.88,12.60,false,true,193.28,27824.58
2024-03-04,38.6500,68330.41,40.2127,-388.61,12.14,false,true,376.46,58200.97
2024-03-05,35.3200,63801.20,37.5472,-593.18,12.72,false,true,580.46,82007.07
2024-03-06,38.2900,66106.80,38.9041,-157.85,12.20,false,true,145.64,22306.91
2024-03-07,38.6300,66925.48,39.3859,-191.92,12.15,false,true,179.77,27778.04
2024-03-08,39.5500,68300.09,40.1948,-160.43,12.01,false,true,148.43,23480.99
2024-03-11,41.1200,72123.91,42.4452,-312.21,11.78,false,true,300.43,49415.30
2024-03-12,40.7300,71481.29,42.0670,-317.83,11.83,false,true,305.99,49852.54
2024-03-13,41.9500,73083.50,43.0099,-246.43,11.66,false,true,234.77,39394.44
2024-03-14,39.5100,71396.59,42.0172,-596.70,12.01,false,true,584.69,92403.81
2024-03-15,39.3900,69403.77,40.8444,-356.08,12.03,false,true,344.05,54207.95
2024-03-18,38.1400,67548.59,39.7526,-405.66,12.23,false,true,393.43,60021.59
2024-03-19,36.7000,61912.77,36.4359,72.49,12.47,true,false,60.02,8810.27
2024-03-20,37.5500,67913.67,39.9674,-604.85,12.32,false,true,592.53,88997.60
2024-03-21,37.1500,65491.39,38.5419,-361.14,12.39,false,true,348.75,51824.31
2024-03-22,36.4100,63778.76,37.5340,-299.47,12.52,false,true,286.95,41790.89
2024-03-25,40.5500,69958.81,41.1710,-150.84,11.86,false,true,138.98,22542.59
2024-03-26,39.6300,69987.84,41.1881,-378.29,11.99,false,true,366.29,58064.88
2024-03-27,39.1300,69455.34,40.8747,-426.85,12.07,false,true,414.78,64920.67
2024-03-28,40.4700,70744.95,41.6337,-279.50,11.87,false,true,267.63,43324.02
2024-04-01,39.7500,69702.15,41.0200,-309.60,11.97,false,true,297.62,47321.84
2024-04-02,37.6000,65446.97,38.5158,-237.77,12.32,false,true,225.45,33907.79
2024-04-03,37.5400,65980.81,38.8299,-332.20,12.33,false,true,319.88,48032.67
2024-04-04,39.0800,68508.84,40.3177,-306.99,12.08,false,true,294.91,46100.16
2024-04-05,38.4100,67837.64,39.9227,-378.91,12.18,false,true,366.72,56343.25
2024-04-08,40.9500,71631.36,42.1553,-285.92,11.80,false,true,274.12,44901.12
2024-04-09,39.3300,69139.02,40.6886,-333.89,12.04,false,true,321.85,50633.88
2024-04-10,40.0000,70587.88,41.5412,-371.01,11.94,false,true,359.07,57451.62
2024-04-11,40.1700,70060.61,41.2309,-257.31,11.91,false,true,245.40,39430.81
2024-04-12,38.1400,67195.87,39.5450,-355.29,12.23,false,true,343.07,52338.23
2024-04-15,36.0800,63426.21,37.3266,-333.96,12.58,false,true,321.38,46380.90
2024-04-16,35.7500,63811.86,37.5535,-480.25,12.64,false,true,467.61,66867.84
2024-04-17,34.7600,61276.69,36.0616,-360.93,12.83,false,true,348.09,48398.85
2024-04-18,36.2100,63512.75,37.3775,-312.35,12.56,false,true,299.79,43421.65
2024-04-19,36.6700,63843.57,37.5722,-240.12,12.48,false,true,227.64,33390.26
2024-04-22,37.9300,66837.68,39.3342,-357.00,12.26,false,true,344.73,52303.02
2024-04-23,37.9000,66407.27,39.0809,-302.17,12.27,false,true,289.91,43949.69
2024-04-24,36.4100,64276.90,37.8272,-374.65,12.52,false,true,362.12,52739.77
2024-04-25,36.8600,64481.71,37.9477,-286.64,12.44,false,true,274.19,40426.83
2024-04-26,36.3200,63755.32,37.5202,-319.89,12.54,false,true,307.35,44651.92
2024-04-29,35.8700,63841.12,37.5707,-452.67,12.62,false,true,440.05,63138.78
2024-04-30,33.5700,60636.86,35.6850,-592.69,13.07,false,true,579.61,77830.43
2024-05-01,32.3900,58254.01,34.2827,-552.08,13.33,false,true,538.75,69800.72
2024-05-02,33.8000,59123.43,34.7944,-285.78,13.03,false,true,272.75,36876.25
2024-05-03,35.4000,62889.84,37.0109,-435.25,12.71,false,true,422.54,59831.52
2024-05-06,36.0100,63161.95,37.1710,-312.35,12.60,false,true,299.75,43176.55
2024-05-07,35.9300,62334.82,36.6843,-205.61,12.61,false,true,193.00,27737.83
2024-05-08,35.3800,61187.94,36.0093,-174.77,12.71,false,true,162.05,22933.79
2024-05-09,35.5800,63049.96,37.1051,-411.03,12.68,false,true,398.35,56693.62
2024-05-10,34.5800,60792.78,35.7768,-334.51,12.87,false,true,321.64,44489.36
2024-05-13,36.0000,62901.45,37.0177,-274.93,12.60,false,true,262.33,37775.90
2024-05-14,35.0700,61552.79,36.2240,-318.58,12.77,false,true,305.81,42899.16
2024-05-15,37.6700,66267.49,38.9987,-340.69,12.30,false,true,328.39,49481.58
2024-05-16,37.1500,65231.58,38.3890,-322.75,12.39,false,true,310.36,46119.52
2024-05-17,38.2800,67051.88,39.4603,-299.10,12.20,false,true,286.90,43929.97
2024-05-20,39.9700,71448.20,42.0475,-494.09,11.94,false,true,482.15,77085.50
2024-05-21,39.4700,70136.53,41.2756,-437.45,12.02,false,true,425.43,67167.22
2024-05-22,39.7100,69122.34,40.6787,-238.14,11.98,false,true,226.16,35923.87
